"email","start_time","end_time","usage_type","accelerator_type","accelerator_seconds","base_model_name","model_bucket","parameter_count","prompt_tokens","completion_tokens","cached_prompt_tokens","uncached_prompt_tokens"
"[REDACTED]","2026-08-19 03:00:09 UTC","2026-08-19 03:00:09 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","183940","221","183653","287"
"[REDACTED]","2026-08-19 03:00:13 UTC","2026-08-19 03:00:13 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","184226","222","183939","287"
"[REDACTED]","2026-08-19 03:00:18 UTC","2026-08-19 03:00:18 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","184513","222","184225","288"
"[REDACTED]","2026-08-19 03:00:23 UTC","2026-08-19 03:00:23 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","184800","221","184512","288"
"[REDACTED]","2026-08-19 03:00:30 UTC","2026-08-19 03:00:30 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","185086","222","184799","287"
"[REDACTED]","2026-08-19 03:00:34 UTC","2026-08-19 03:00:34 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","185373","222","185085","288"
"[REDACTED]","2026-08-19 03:00:39 UTC","2026-08-19 03:00:39 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","185660","222","185372","288"
"[REDACTED]","2026-08-19 03:00:43 UTC","2026-08-19 03:00:43 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","185947","222","185659","288"
"[REDACTED]","2026-08-19 03:00:48 UTC","2026-08-19 03:00:48 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","186234","222","185946","288"
"[REDACTED]","2026-08-19 03:00:52 UTC","2026-08-19 03:00:52 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","186521","222","186233","288"
"[REDACTED]","2026-08-19 03:00:56 UTC","2026-08-19 03:00:56 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","186807","221","186520","287"
"[REDACTED]","2026-08-19 03:01:01 UTC","2026-08-19 03:01:01 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","187093","222","186806","287"
"[REDACTED]","2026-08-19 03:01:05 UTC","2026-08-19 03:01:05 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","187380","222","187092","288"
"[REDACTED]","2026-08-19 03:01:12 UTC","2026-08-19 03:01:12 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","187666","221","187379","287"
"[REDACTED]","2026-08-19 03:01:19 UTC","2026-08-19 03:01:19 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","187952","222","187665","287"
"[REDACTED]","2026-08-19 03:01:23 UTC","2026-08-19 03:01:23 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","188239","221","187951","288"
"[REDACTED]","2026-08-19 03:01:28 UTC","2026-08-19 03:01:28 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","188525","222","188238","287"
"[REDACTED]","2026-08-19 03:01:33 UTC","2026-08-19 03:01:33 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","188812","221","188524","288"
"[REDACTED]","2026-08-19 03:01:38 UTC","2026-08-19 03:01:38 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","189098","222","188811","287"
"[REDACTED]","2026-08-19 03:01:42 UTC","2026-08-19 03:01:42 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","189385","222","189097","288"
"[REDACTED]","2026-08-19 03:01:49 UTC","2026-08-19 03:01:49 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","189672","222","189384","288"
"[REDACTED]","2026-08-19 03:01:56 UTC","2026-08-19 03:01:56 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","189959","222","189671","288"
"[REDACTED]","2026-08-19 03:02:00 UTC","2026-08-19 03:02:00 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","190246","222","189958","288"
"[REDACTED]","2026-08-19 03:02:07 UTC","2026-08-19 03:02:07 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","190533","222","190245","288"
"[REDACTED]","2026-08-19 03:02:11 UTC","2026-08-19 03:02:11 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","190819","221","190532","287"
"[REDACTED]","2026-08-19 03:02:15 UTC","2026-08-19 03:02:15 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","191105","222","190818","287"
"[REDACTED]","2026-08-19 02:18:36 UTC","2026-08-19 02:18:36 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","244144","2274","243282","862"
"[REDACTED]","2026-08-19 02:18:57 UTC","2026-08-19 02:18:57 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","246432","187","244143","2289"
"[REDACTED]","2026-08-19 02:19:04 UTC","2026-08-19 02:19:04 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","247015","532","246431","584"
"[REDACTED]","2026-08-19 02:19:11 UTC","2026-08-19 02:19:11 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","248814","3409","247014","1800"
"[REDACTED]","2026-08-19 02:19:42 UTC","2026-08-19 02:19:42 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","252526","751","248813","3713"
"[REDACTED]","2026-08-19 02:19:51 UTC","2026-08-19 02:19:51 UTC","TEXT_COMPLETION_INFERENCE_USAGE","","","accounts/fireworks/models/deepseek-v4-pro-0813","DeepSeek V4 Pro 0813","1600000000000","254565","112","252525","2040"
